Loan_ID,Customer_Name,Loan_Amount,Interest_Rate,Loan_Term
846,Carol Morales,13622.47,5.03,12
253,Amanda Hill,22178.71,9.9,60
517,Joshua Mcknight,37628.96,6.27,48
265,Willie Mason,24347.64,5.9,12
231,Sharon Anderson,11161.4,8.8,48
987,Jason Benson,14563.89,3.59,48
195,Gary Carter,18259.5,4.19,48
66,Brandi Hudson,11883.43,8.1,36
307,David Cooper,17597.05,3.93,48
342,Anita Fritz,44083.92,7.18,12
854,Manuel Simpson,37217.65,7.69,60
382,Robert Farmer,27885.65,5.37,60
464,Jonathan Franklin,22535.03,7.98,48
136,Alyssa Maynard,17844.18,9.86,36
403,Brianna Thompson,38363.36,3.81,48
836,Douglas Murray,33478.4,7.15,48
576,Charlotte Alvarado,42638.66,7.52,36
593,Diana Stephens,42505.79,3.66,60
516,Steven Bennett,36211.94,9.17,24
586,Lindsay Robles,37784.53,3.85,24
763,Daniel Thompson,32054.86,7.12,36
956,Amber Meadows,15539.33,3.76,12
938,Justin Murphy,25718.39,6.03,60
682,Claudia Reyes,42104.7,7.84,12
656,Jennifer Jackson,16794.55,8.95,36
568,Kevin Allen,36587.04,6.6,48
332,Amber Ford,46585.46,3.22,24
637,Pamela Khan,19753.31,5.74,12
240,Lauren James,46315.5,8.57,60
393,Nicole Wright,44724.16,9.82,36
692,Jeffrey Kelly,13685.96,7.46,48
347,James Bryant,23037.91,6.16,12
466,Alan Allen,29809.85,5.65,60
197,Richard Stephenson,46127.17,4.38,36
429,Robert Alvarado,17782.62,9.49,12
30,Maxwell Mills,43517.68,3.14,60
475,Jesse Williams,38520.6,7.47,36
141,Jennifer Simmons,12669.95,5.89,36
197,Darin Joseph,44338.85,9.48,60
466,Ricardo Reyes,15776.41,6.16,12
913,Jerry Stevens,30040.09,4.33,36
233,Matthew Bryant,29439.73,9.62,24
174,Jared Marsh,10860.24,7.13,48
358,Nancy Mclaughlin,44178.24,9.75,60
837,Victoria Patterson,14584.66,7.44,12
719,Monica Love,41764.33,7.23,36
631,Jerry Cummings,11640.46,7.33,48
407,Bryce Keller,25006.4,3.85,24
884,Erin Anderson,21571.17,4.84,48
637,Katrina Thompson,34537.92,9.21,48
784,Rachel Johnson DVM,31703.77,9.23,36
787,Wendy Chung,48267.52,3.59,36
152,Christine Evans,30830.16,8.7,48
723,Michael Goodwin,32765.35,3.5,24
526,Mrs. Angela Munoz,12395.0,7.55,60
275,Sally Williams,39293.63,8.27,48
986,Jennifer Jackson,32039.42,8.19,12
797,Christopher Jones,45381.13,4.1,60
114,Mary Jacobs,46528.37,6.93,48
447,Cindy Riley,10666.52,3.12,48
755,Maria Wilson,17195.18,3.85,60
203,Charles Dixon,36472.13,9.8,60
787,Victoria Clark,49950.03,7.28,60
185,Jennifer Salazar,49970.82,5.61,24
936,Erica Newman,27842.96,9.14,48
110,Darius Schaefer,14441.44,8.83,60
261,Carl Jones,43157.81,7.28,60
984,Maureen Zamora,30042.34,8.66,36
44,Kevin Hall,28840.93,4.88,60
924,Monique Martinez,17475.83,8.42,48
117,Michelle Howard,30253.72,8.83,48
935,Joseph Perry,42017.16,9.84,36
176,Warren Carter,36136.95,7.82,48
790,Kayla Guerrero,18694.0,9.94,60
389,Douglas Manning,11614.64,9.63,12
965,Jeremy Newton,41969.26,5.62,12
931,April Johnson,23268.08,6.87,24
974,Sandra Waller,26030.47,7.93,36
642,Micheal Haley,27398.35,3.06,36
869,Kevin Rogers,14059.28,5.56,60
955,Jasmine Sims,25982.38,9.24,24
986,Alexandria Todd,12578.36,8.01,24
974,Robert Mendoza,28675.61,6.5,60
163,Jacob Lyons,43983.73,5.12,12
6,Riley Nielsen,35211.97,8.83,24
83,Kathleen Haney,11292.46,5.59,36
421,Shelby Higgins,19461.62,8.23,12
435,Dr. Brenda Luna MD,15380.65,3.86,36
534,Erica Lutz,17123.37,8.69,36
98,Lisa Ward,36754.49,3.64,36
618,Natalie Bailey,18832.09,7.1,60
81,Heather Watson,46006.3,4.92,24
713,Joel Wright,39570.69,9.79,24
65,Anthony Cuevas,39740.65,9.2,48
38,Ashley Patton,41493.01,3.15,24
465,Janet Ingram,29107.34,4.52,48
855,Desiree Smith,31771.49,9.06,12
746,John Chan,11979.12,3.75,12
999,Kimberly Johnson,17954.55,7.01,48
723,Anthony Fleming,33489.97,5.98,24
990,Ashley Sherman,33086.98,6.71,12
533,Joseph Morgan,16883.75,4.59,24
892,Joseph Sanchez,32269.52,7.5,60
717,Michelle Byrd,18454.4,8.97,60
175,Dylan Joseph,23206.49,9.73,48
5,Tina Schroeder,33515.84,5.97,60
231,Jasmine Johnson,36812.85,5.81,60
164,Angelica Swanson,44106.81,8.15,36
962,Jennifer Solis,21924.91,9.31,48
23,Dale White,32668.06,8.04,24
173,Jennifer Burns,20404.3,6.81,60
4,Bobby Vincent,30505.09,5.21,24
488,David Avila,48499.95,9.79,60
22,Melissa Jones,16269.01,3.23,60
503,Michelle Morgan,31774.52,8.23,60
561,Mary Russo,12513.82,5.48,36
563,Michael Strickland,42234.0,8.47,12
136,Stacey Jackson,45578.59,5.36,24
977,Christopher Gardner,49874.4,3.81,24
162,Adam Mitchell,21801.84,7.45,24
263,Maria Bowen,39122.39,6.54,12
643,Jennifer Gonzalez,41966.2,9.83,36
67,Matthew Williamson,33244.54,8.31,60
777,Sandra Maddox,21389.14,5.08,36
466,Brenda Williams,14058.49,8.13,24
530,Kevin Gilbert,15411.96,4.71,48
793,Lori Mata,42076.15,5.85,24
85,Nicole Collier,30929.61,4.9,48
920,Andrew Collins,47803.62,3.57,36
627,Emily Taylor,46048.45,6.87,24
972,Emily Wood,29058.78,4.86,24
49,Angela Glover,33556.8,5.03,60
784,Yvonne Tucker,22197.77,9.86,12
492,Eric Peck,16977.06,9.94,60
575,Kristen Jones,12143.46,7.42,60
546,Stephen Bartlett,16556.75,9.67,48
904,David Campbell,18288.15,8.4,60
321,Mary Hunter,14573.41,5.72,36
590,Omar Johnson,10036.66,5.37,36
327,Jeff Fitzgerald,30323.6,8.11,60
582,Kevin Rodriguez,10669.21,9.91,36
372,Christopher Scott,48636.05,8.69,48
21,James Martin,48377.62,4.63,48
339,Wendy Wood,46895.42,5.58,48
629,Kyle Prince,13127.84,6.95,48
135,Janice Beck,38367.97,7.89,48
175,Malik Harris,36558.4,5.87,12
616,Anthony Gibson,33530.77,9.71,48
505,Emily Lloyd,29989.17,9.29,24
551,Andrew Smith,15332.41,6.34,60
657,Hayden Cannon,19066.26,9.31,12
188,Justin Poole,26039.27,5.82,12
231,Betty Lee,30075.47,7.34,48
844,Kelly Rhodes,39876.08,7.24,60
183,Antonio Henderson,47108.21,7.67,48
983,Norman Wallace,15950.71,4.05,60
65,John Cook,45269.06,9.64,24
767,Jeffrey Campbell,32110.9,4.8,12
648,Jesus Shaw,34097.96,4.21,24
352,Matthew Wade,24331.47,4.06,60
49,Eugene Mccarty,10330.59,8.04,24
671,Jennifer Fernandez,39907.52,6.41,48
665,Christopher Schroeder,41089.77,5.77,24
941,Rachel Stephens,31132.09,7.47,24
22,Lori Meyer,45883.88,8.01,24
903,Mason Powell,16215.26,6.78,36
157,Tiffany May,45080.77,6.82,12
16,Susan Harris,35777.67,5.26,48
241,Julie Hughes,46524.23,7.1,24
742,Joshua Hernandez,43751.59,7.04,36
237,Shane Brown,45053.01,9.17,24
473,Olivia Hernandez,45632.92,5.79,48
734,Krystal Shepherd,46893.44,7.56,36
730,Kathy Farrell,44278.18,9.15,36
661,Jackie Bush,13011.1,6.54,36
509,Christopher Bauer,11591.34,9.91,24
145,Timothy Jackson,46493.94,6.79,60
92,Melissa Mann,29125.15,3.49,12
789,Caleb Williams,44015.76,5.27,60
800,Lindsay Macias,25875.69,4.27,48
735,Haley Burch,27134.5,9.5,36
574,Gregory Leblanc,45036.9,8.55,48
743,Steven Vasquez,44846.13,9.09,12
37,Dustin Richard,39001.62,4.4,12
638,Veronica Espinoza,43797.2,8.62,36
45,Jacob Rodriguez,13256.45,8.87,36
404,Kelly Garcia,30674.69,5.67,60
339,Bryan Trevino,20388.32,7.56,60
921,Jason Mccullough,19890.06,4.76,48
155,Bradley Ellis,15454.47,4.31,48
247,Scott Jones,42460.43,5.69,48
850,Brandon Parks,35331.3,4.68,60
436,Rachel Brock,21197.24,3.9,24
216,Nathaniel Stanton,35593.7,3.3,60
963,John White,45768.91,7.68,36
568,April Ryan,19887.71,5.99,60
355,Kimberly Tucker,10005.89,6.21,24
267,Krystal Carroll,47228.61,7.56,12
510,Brittany Perkins,32784.25,7.15,12
640,Noah Cunningham,19035.64,4.6,36
380,Dale Tucker,23039.02,3.78,36
917,Alan Shields,12411.39,6.8,60
848,John Smith,25741.14,8.65,60
82,Katelyn Willis,24616.91,7.5,12
546,Melissa Jennings,17243.43,7.4,48
285,Kristopher Hebert,30371.91,5.8,48
772,Tyler Hernandez,48944.79,9.01,36
982,Allison Dalton,35740.63,5.15,12
494,Kathleen Ho,49661.48,3.46,48
685,Kevin Reed,15690.74,4.45,24
232,Candice Baker,11309.28,8.78,60
713,Marie Brandt,45707.71,6.71,60
660,Bruce Mckinney,10890.09,5.88,24
40,Jon Gonzalez,46208.43,6.28,60
718,Dr. Emma Martinez,33892.04,3.14,60
258,Julia Smith,49964.01,8.13,36
208,Roberto Brown,48226.75,3.71,48
53,James Roberts,48969.55,3.23,36
518,Jeffrey Lee,33119.5,3.67,12
168,Jonathan Smith,46421.67,9.25,60
430,Taylor Moyer,20245.79,3.66,24
923,Andrew Davis,16520.39,5.56,24
910,David Farmer,39230.91,3.61,12
631,Keith Hernandez,10547.67,4.21,24
511,William Roberts,14626.73,7.22,36
20,Willie Palmer,18438.55,8.61,12
877,Steven Wall,22625.56,3.04,48
541,Angela Mejia,40475.48,4.17,12
693,Margaret Stephens,32344.35,6.04,24
822,Melissa Yu,18676.06,4.07,36
197,Sarah Robinson,20629.96,5.15,60
679,Misty Reed,25019.37,4.47,12
395,Bryan Bennett,48601.49,6.93,36
141,James Lucas,34473.8,9.84,12
67,Thomas Phillips,13975.38,9.21,48
509,Nancy Thomas,21408.99,3.19,36
212,Leslie Cherry,35433.69,9.96,36
402,Patrick Kennedy,25625.53,5.95,36
910,Kathleen Macias,15356.88,9.81,48
148,Frederick Mejia,22829.8,4.23,48
575,Margaret Patterson,24298.09,3.9,12
354,David Reed,48588.19,5.57,12
417,Sheena Bell,49200.04,7.89,60
614,Joshua Nguyen,34446.09,8.04,36
884,Austin Brown,41395.8,5.19,36
951,Jennifer Wilson,37563.9,9.58,48
51,Alyssa Owen,34298.58,4.13,24
823,Jessica Moore,37675.77,9.86,12
846,Elizabeth Davis,49819.94,8.76,60
109,Malik Jarvis,37055.54,6.28,12
823,William Adams,43829.34,9.73,36
76,Christine Hurst,28502.02,9.1,12
663,Elijah Casey,11406.56,7.31,48
657,Jose Le,26554.96,6.42,24
364,Dustin Santiago,37822.77,7.72,24
501,Rachael Anderson,18126.62,7.83,24
480,Thomas Anderson,17672.16,4.41,60
789,Howard Sanchez,41107.74,9.34,48
322,Barbara Morris,11321.23,8.18,48
50,Laura Montgomery,34607.49,7.67,48
768,Deborah Collins,13306.93,3.51,60
152,Anthony Jones,35396.72,3.76,60
340,John Walker,40548.48,9.22,36
349,Jason Meyer DDS,27987.82,9.67,24
248,John Gonzales,28258.47,4.88,24
931,Peter Ray,17129.6,7.63,36
24,Nicole Bennett,11494.03,6.65,24
795,Johnathan Brown,17611.22,8.45,60
206,Tonya Price,44693.15,4.2,36
975,Charles Dunlap,20480.44,8.31,12
543,Jack Williams,38148.9,7.92,12
655,Cynthia Miller,37199.05,6.04,60
361,Brenda Delacruz,27825.95,6.11,24
159,Jamie Hutchinson MD,43004.66,6.72,24
494,Deborah Brown,23962.02,9.74,24
965,Troy Cook,32061.43,8.86,60
506,Jason Lin,23049.64,8.1,36
71,Joshua Scott,18632.05,3.24,24
998,Brooke Nielsen,42012.77,5.12,12
785,Kevin Johnson,33020.95,6.18,48
407,Mary Anderson MD,27212.64,5.02,60
471,Tammy Bonilla,32384.01,7.59,60
441,Sandra Stewart,46710.45,3.29,36
561,Melissa Tucker,19564.48,5.17,60
281,Frank Elliott,10441.13,3.65,12
618,Katrina Carlson,30830.26,7.2,60
482,Courtney Mueller,42629.45,5.14,60
485,Sarah Thomas,22955.47,7.46,48
258,Kevin Gonzalez,30508.2,5.61,48
110,Teresa May,16968.5,5.35,48
135,Andrea Mccarthy,34384.1,9.58,24
229,Richard Anderson,23418.23,3.75,24
431,Jamie Mcpherson,31511.65,6.72,48
226,James Tate,35791.82,6.38,60
122,Rachel Gardner,49398.24,5.76,36
548,Sherry Morris,36757.99,6.34,36
384,Daniel Taylor,17618.66,4.58,36
699,Jenna Hogan,11534.88,6.21,24
42,Catherine Rivera,16056.61,9.87,60
507,James Williams,47278.37,5.51,24
711,Diana Rodriguez,41461.78,5.85,12
638,Stephanie Edwards,34372.91,3.52,48
420,Amanda Nelson,33431.08,6.51,12
505,Mary Cooley,10110.59,6.43,48
788,James Peterson,45114.47,3.19,24
664,Laura Luna,35661.27,5.3,48
372,Diana Morales,34194.19,4.06,48
491,Carrie Stafford,12339.75,3.77,60
159,Rebecca Howard,16849.73,6.95,24
869,Diana Sanders,25420.49,4.5,60
616,Connie Bird,46072.08,6.28,48
865,Sherri Henderson,12759.15,7.06,48
595,Philip Hoffman,20543.56,7.01,60
341,Laura Anderson DVM,34951.56,7.36,12
368,Amanda Quinn,40967.65,6.02,12
847,Elizabeth Thomas,18762.89,7.78,24
95,Michael Waters,37962.44,6.82,60
329,Angela Vasquez,29619.52,5.95,24
511,Maria Middleton,46631.0,4.08,36
461,Ryan Wright,16768.77,3.26,36
810,Miranda Duncan,21957.53,6.16,12
76,Jason Drake,16206.29,7.05,24
663,Monica Little,49554.28,5.64,48
754,Max Jones,44396.57,8.25,24
584,Lisa Hanna,38834.54,9.21,12
746,Matthew Lee,31864.17,6.82,48
423,Nicole Love,30497.0,4.34,36
779,David Delacruz,35518.1,6.36,60
979,Kevin Hansen,24409.45,8.3,24
817,Nicholas Smith,40334.59,5.98,48
194,Lisa Miller,45415.18,4.27,48
557,Jonathan Montgomery,16282.69,7.52,48
748,David Mooney,28372.72,3.69,24
227,Zachary Hall,29438.39,4.11,60
872,Crystal Weeks,41037.92,7.25,12
898,Jessica Riddle,29239.41,5.19,12
230,Jennifer Hopkins,12447.95,7.84,12
97,James Fisher,17350.26,5.9,36
653,Mark Brown,19687.35,3.37,24
292,Amanda Potts,48085.14,5.39,36
857,Clayton Kennedy,37241.57,6.48,36
579,Holly Love,13839.49,8.0,60
800,David Tanner,10952.53,7.22,12
679,Ms. Megan Chaney DDS,26545.88,6.7,48
374,Sharon Esparza,13762.4,7.19,60
597,Steven Fuller,45917.4,4.72,48
453,Justin Boyer,34391.95,8.83,24
75,Billy Freeman,48408.41,7.03,60
568,Joshua Robinson DVM,38396.76,9.1,12
349,Maria Valdez,45126.05,8.49,12
789,Tonya Valdez,49334.03,5.54,60
886,Jessica Harper,25346.13,8.34,24
465,Timothy Rosales,24882.31,4.36,24
798,Jeffrey Hill,47042.18,3.24,48
343,Sharon Macias,43836.31,6.83,36
903,Robin Garcia,34139.01,8.02,12
448,Julie Conner,16730.05,7.27,36
691,Jared Elliott,39256.6,3.23,48
711,Julia Velez,15571.47,5.39,24
68,Nicole Weaver,22093.17,5.71,12
948,Angela Hansen,26691.06,7.93,48
812,Robert Hunt,23249.2,6.97,24
833,Charles Francis,21400.61,8.45,48
670,Michael Acosta,27152.36,3.75,12
915,Jeanne Gomez,40660.42,5.38,24
557,Christopher Knight,13148.55,5.45,48
405,Joseph James,30621.83,8.51,24
710,Jerry Duncan,18335.19,9.65,60
392,Jeremy Brown,44443.33,7.64,12
256,Gregory Chavez,15862.86,6.78,12
599,Justin Taylor,37995.08,4.57,36
88,Heather Martinez,35407.1,4.33,24
608,Evan Johnson,17515.77,6.14,36
997,Jason Perry,45660.93,9.09,60
444,Keith Fuller,49078.75,9.91,24
777,Justin Gomez,30401.62,3.73,48
687,Mario King,26987.06,3.14,36
52,James Orozco,17084.86,3.55,24
228,Paula Stevenson,42564.75,9.63,48
851,Haley Smith,47633.75,7.58,60
935,Charles Little,21453.98,3.88,48
559,Amber Williams,40433.42,3.27,60
279,Melissa Hansen,43434.81,9.59,36
321,Peggy Harper,38007.56,7.38,48
166,Jennifer Leonard,25303.9,4.56,24
464,Tammy Miller,32552.25,9.18,36
241,Lisa Robinson,25809.86,9.05,36
720,Jose Pineda Jr.,29990.56,5.87,48
144,George Miller,35026.73,6.94,12
876,Brooke Levy,26490.01,5.95,60
895,Michael Villanueva,46029.51,7.42,36
244,Krista Spears,23281.17,6.84,36
136,Tracy White,46672.04,7.51,60
118,Amanda Edwards,36609.14,6.3,24
534,Taylor Campbell,27599.67,3.29,36
979,Melinda Ayala,10182.7,7.18,12
257,Kenneth Walters,28062.71,6.52,24
974,Jay Brown,41150.66,7.79,12
491,Joy Mahoney,30114.54,4.47,36
931,Kim Baker,10257.14,4.47,24
565,Harry Bowen,26063.38,4.98,48
100,Daniel Bridges,28292.68,8.28,24
950,Anita Chavez,42220.52,5.69,36
1000,Tiffany Hughes,18870.64,8.19,48
427,Rebecca Cook,12012.59,9.72,60
304,Michael Long,48897.31,4.84,24
532,Ashley Brown,24867.56,8.28,24
989,Kathryn Cochran,21022.6,6.59,60
435,James Harvey,37915.31,8.97,36
996,Patrick Conway,48724.43,9.6,36
698,Jennifer Romero,34872.3,7.69,12
111,David Brown,35647.83,3.43,60
969,Lori Brown,33624.59,9.66,12
548,Christopher Chandler,38179.89,3.43,36
783,Jacob Yang,37031.72,7.0,24
575,Jessica Beard,31768.3,5.93,12
259,Abigail Marsh,35471.39,4.43,36
664,James Tran,37447.67,9.61,48
781,Shannon Fleming,35569.73,8.1,24
448,Michael Scott,28944.24,3.07,36
302,Barbara Shea,26388.41,9.99,36
32,Denise Thomas,32820.43,9.65,36
155,James Sullivan,18951.36,5.71,12
837,Martin Edwards,13946.91,3.72,24
316,Paul Wheeler,39218.32,5.85,60
742,Christopher Pierce,12805.61,5.33,48
593,Nicholas Jacobson,31850.19,8.42,36
232,Craig Holmes,11369.59,5.55,24
776,Bryan Burton,25177.91,9.01,24
241,Christopher Armstrong,48369.68,6.25,36
15,Gary Herring,34991.99,4.01,60
43,Jeremy Mays,13571.25,9.29,24
327,Jackson Lewis,16356.53,6.9,48
398,Tara Campbell,25739.97,8.28,12
956,Beth Bowen,33073.42,7.11,24
918,Laura Ramos,15106.44,3.49,36
360,Johnny Russell,20462.63,3.87,12
373,Kelly Smith,39922.18,8.78,48
470,William Lambert,43066.82,3.24,60
657,Teresa Garcia,14475.35,3.48,60
265,Ryan Scott,26474.19,5.46,24
950,Alyssa Harrison,49351.43,3.5,60
1,Amanda Phillips,30831.26,9.24,48
463,Patrick Mitchell,19656.28,9.18,60
77,Patricia Herrera,49132.01,8.93,48
292,Rita White,46881.78,4.76,48
208,Aaron Turner,47859.17,7.29,60
26,Jennifer Allen,26998.9,7.01,48
507,Julie Reynolds,28474.87,5.45,12
372,Tina Bailey,29051.77,3.72,24
751,Daniel Turner,29594.8,3.9,48
992,Kimberly Morris,23416.46,9.2,12
310,William Frederick,44362.53,3.77,24
666,David Bailey,17156.82,6.47,24
46,Rebecca Cohen,27828.7,4.48,12
823,Lawrence Porter,10879.01,4.1,60
950,Jerry Powell,41612.47,8.8,24
799,Tiffany Mitchell,40543.12,5.87,24
362,Mark Hammond,28680.98,3.74,48
914,Joseph Buchanan,17955.36,9.89,36
246,William Russell,39221.31,9.54,48
284,Donald Roy,26121.11,8.23,48
55,Anne Reyes,39002.55,7.02,12
974,Justin Jones,26740.86,9.27,60
771,Carl Valdez,36996.23,7.71,24
653,Amy Carter,32915.83,5.5,36
66,Jason Jones,41766.66,4.04,60
548,Emily Martinez,15711.48,4.15,36
813,Claire Anderson,43875.89,7.92,36
778,Mary Taylor,33172.59,4.1,36
864,Mr. Aaron Brown DDS,41570.64,3.77,36
297,Lance Jones,33833.94,4.4,12
888,Samantha Vaughn,27588.97,4.72,48
341,Meredith Garcia,44432.58,5.27,12
392,Amanda Baldwin,12384.98,9.98,24
662,Catherine Williams,14942.03,4.21,24
410,Sarah Green,46945.25,8.43,24
274,Jeffrey Johnson,29438.5,3.26,48
358,Stephanie Garcia,41649.47,5.5,36
779,Nicholas Davis,49242.31,8.49,36
514,Susan Hudson,24319.16,4.0,48
863,Michael Preston,37364.96,5.99,24
928,Kayla Weeks,31041.35,3.53,48
218,Jennifer Fleming,26603.85,8.08,48
576,Mackenzie Mccarthy,25454.8,6.69,36
362,Dave Grant,43667.77,6.29,48
438,Jeffrey Steele,40932.52,7.1,60
392,Leah Sanchez,24853.51,9.63,24
787,Elizabeth Wolfe,12838.62,9.32,36
764,Edgar Pena,38923.09,9.48,60
114,Tammy Burton DDS,41903.87,4.3,36
847,Adam Flynn,14254.37,5.14,48
313,Yolanda Bonilla,28668.81,3.85,36
84,Damon Castro,21088.13,7.87,60
425,Bobby Jones,45047.13,5.32,12
41,Mr. Evan Shaw,43092.5,8.95,12
398,Elizabeth Martinez,24939.29,7.94,60
466,Lori West,14494.12,9.89,24
357,Carol Mcconnell,31663.23,5.94,36
853,Erica Barrett,37324.14,9.99,60
470,Debra Calderon,27454.88,9.71,24
980,John Glover,34935.34,5.81,60
441,Joshua White,47901.94,8.85,12
265,Jody Cline,11570.84,9.71,24
774,Edward Davis,10003.97,9.28,60
660,Ashlee Ibarra,33950.46,6.29,36
229,Samantha Smith,13525.97,7.6,36
216,Russell Mccann,44854.0,8.53,60
552,Heather Becker,22416.25,3.63,24
297,Deborah Cohen,12015.29,8.08,12
713,Donald Snow,11199.25,8.23,24
700,Patrick Snyder,20303.77,3.99,36
926,Christine Dean,42668.16,4.45,60
182,Robert Jackson,12258.78,5.63,60
517,Yvonne Robles,15479.29,8.53,36
528,Dominique Phillips,22345.41,5.73,60
613,Antonio Walsh,36373.05,6.83,60
921,Stephanie Jones,10729.99,3.22,12
11,Taylor Braun,42071.78,8.17,60
590,Chelsea Dunn,34125.66,3.9,60
659,Jeffrey Jennings,45469.83,4.35,60
671,Kimberly Mcknight,28828.89,8.63,12
644,Tiffany Page,40047.96,5.7,24
437,Sarah Zimmerman,45983.59,3.94,48
58,Anna Brown,18446.6,5.07,48
454,Noah Acosta Jr.,16359.92,9.51,12
157,William Pace,43480.71,9.44,24
44,Shelby Jones,32638.01,4.58,36
732,Christopher Johnson,44167.83,3.98,36
659,Cassandra Garner,27391.01,7.75,36
829,Rachel Tate,23259.56,3.76,24
29,Kimberly Lyons,35397.83,9.63,36
591,Patricia Lucas,14663.98,6.95,60
15,Janice Carter,32973.08,3.37,36
83,Lori Reyes,14770.07,4.19,48
263,Jonathan Lyons DVM,26881.41,6.84,12
523,Jack Wilson,13992.84,9.82,48
455,April Walker,16530.71,9.49,48
360,Jamie Ross,10357.93,8.52,36
346,Brian Combs,26055.52,8.72,48
752,Linda Lewis,33282.2,7.55,36
239,Joseph Moran,22255.53,8.89,36
293,Laura Lee,11824.83,8.97,24
277,Nicholas Barnes,25916.08,7.05,24
788,Philip Lopez,29003.77,5.03,12
210,Scott Young,14045.16,9.57,48
820,Stephanie Morse DDS,43051.32,8.23,48
263,John Gonzales,44254.39,9.59,36
460,Jesus Shields,34169.29,5.9,48
404,Marisa Davis,40432.02,4.32,12
240,Craig King,27221.07,7.11,12
78,Paul Barnes,18500.41,9.47,36
542,Brandon Garcia,32750.15,8.92,60
176,Catherine Wright,41806.31,6.65,12
896,Nicholas Little,29548.36,3.13,24
225,Maria Castro,47246.38,4.62,12
157,Lauren Williams,45136.43,9.03,48
466,Emma Vazquez,38172.73,6.48,12
479,Caitlin Burton,33403.4,8.91,24
336,Roy Chambers,19126.26,6.1,12
264,Charles Watson,17232.43,4.39,24
814,Caroline King,47093.36,4.23,24
12,Mary Mercado,34335.68,3.06,60
319,Amber Lopez,47248.28,8.91,48
509,Timothy Fisher,25319.92,6.45,12
572,David Chavez,29300.74,4.09,12
525,Brittney Richardson,19671.45,6.87,60
19,Regina Herman,49673.78,9.56,60
692,Kevin Ryan,48138.25,9.22,60
709,Robert Ferguson,20857.57,4.44,48
394,Connie Garcia,37837.19,6.87,36
43,Mark West,32340.06,7.03,60
700,Amy Williams,35830.55,4.92,48
947,Brian Gay,33582.9,3.89,24
914,Chase Stevens,15326.23,5.87,60
740,James Moses,41724.87,5.61,60
682,Justin Smith PhD,20906.11,4.43,12
224,Linda Payne,22347.31,5.41,48
576,William Werner,37997.52,3.61,48
